 ,Label,Area,X,Y,BX,BY,Width,Height,Width,X
171,0.14;100%;1P;I02-1.tif,74.201,2717.803,617.525,2712.025,612.517,11.557,11.557,11.557,2717.803
172,0.14;100%;1P;I02-1.tif,148.403,829.017,626.385,816.689,616.369,23.114,15.409,23.114,829.017
173,0.14;100%;1P;I02-1.tif,103.882,1012.331,621.597,1005.452,616.369,11.557,11.557,11.557,1012.331
174,0.14;100%;1P;I02-1.tif,29.681,2686.985,624.074,2685.058,620.222,3.852,7.705,3.852,2686.985
175,0.14;100%;1P;I02-1.tif,14.84,1704.646,626,1702.72,624.074,3.852,3.852,3.852,1704.646
176,0.14;100%;1P;I02-1.tif,14.84,1712.351,626,1710.425,624.074,3.852,3.852,3.852,1712.351
177,0.14;100%;1P;I02-1.tif,14.84,1504.326,629.852,1502.4,627.926,3.852,3.852,3.852,1504.326
178,0.14;100%;1P;I02-1.tif,14.84,899.514,633.705,897.588,631.778,3.852,3.852,3.852,899.514
179,0.14;100%;1P;I02-1.tif,29.681,1344.455,643.335,1340.603,639.483,7.705,7.705,7.705,1344.455
180,0.14;100%;1P;I02-1.tif,14.84,2525.188,641.409,2523.261,639.483,3.852,3.852,3.852,2525.188
181,0.14;100%;1P;I02-1.tif,163.243,3241.367,647.713,3235.938,639.483,11.557,15.409,11.557,3241.367
182,0.14;100%;1P;I02-1.tif,14.84,371.748,649.114,369.822,647.188,3.852,3.852,3.852,371.748
183,0.14;100%;1P;I02-1.tif,44.521,8.347,656.818,3.852,651.04,7.705,11.557,7.705,8.347
184,0.14;100%;1P;I02-1.tif,14.84,36.597,656.818,34.671,654.892,3.852,3.852,3.852,36.597
185,0.14;100%;1P;I02-1.tif,44.521,1684.1,659.387,1679.606,654.892,7.705,7.705,7.705,1684.1
186,0.14;100%;1P;I02-1.tif,222.604,906.448,664.78,897.588,658.745,19.262,15.409,19.262,906.448
187,0.14;100%;1P;I02-1.tif,59.361,2950.868,666.449,2947.015,662.597,7.705,7.705,7.705,2950.868
188,0.14;100%;1P;I02-1.tif,74.201,1969.685,669.916,1964.677,666.449,11.557,7.705,11.557,1969.685
189,0.14;100%;1P;I02-1.tif,29.681,1565.963,678.006,1564.037,674.154,3.852,7.705,3.852,1565.963
190,0.14;100%;1P;I02-1.tif,445.208,1810.199,689.82,1795.175,674.154,30.818,30.818,30.818,1810.199
191,0.14;100%;1P;I02-1.tif,14.84,2367.243,676.08,2365.317,674.154,3.852,3.852,3.852,2367.243
192,0.14;100%;1P;I02-1.tif,29.681,3216.677,676.08,3212.825,674.154,7.705,3.852,7.705,3216.677
193,0.14;100%;1P;I02-1.tif,14.84,2016.683,679.932,2014.757,678.006,3.852,3.852,3.852,2016.683
194,0.14;100%;1P;I02-1.tif,14.84,3052.954,679.932,3051.028,678.006,3.852,3.852,3.852,3052.954
195,0.14;100%;1P;I02-1.tif,14.84,3580.72,679.932,3578.794,678.006,3.852,3.852,3.852,3580.72
196,0.14;100%;1P;I02-1.tif,29.681,1070.942,693.415,1067.089,689.563,7.705,7.705,7.705,1070.942
197,0.14;100%;1P;I02-1.tif,148.403,1600.249,697.653,1591.003,689.563,19.262,15.409,19.262,1600.249
198,0.14;100%;1P;I02-1.tif,44.521,1617.327,697.91,1614.117,693.415,7.705,7.705,7.705,1617.327
199,0.14;100%;1P;I02-1.tif,14.84,1985.865,695.342,1983.938,693.415,3.852,3.852,3.852,1985.865
200,0.14;100%;1P;I02-1.tif,14.84,3041.397,699.194,3039.471,697.268,3.852,3.852,3.852,3041.397
201,0.14;100%;1P;I02-1.tif,133.562,300.266,709.039,292.775,701.12,15.409,15.409,15.409,300.266
202,0.14;100%;1P;I02-1.tif,148.403,481.153,707.284,469.982,701.12,23.114,15.409,23.114,481.153
203,0.14;100%;1P;I02-1.tif,14.84,3677.028,703.046,3675.101,701.12,3.852,3.852,3.852,3677.028
204,0.14;100%;1P;I02-1.tif,59.361,2354.723,709.788,2349.908,704.972,11.557,7.705,11.557,2354.723
205,0.14;100%;1P;I02-1.tif,14.84,2563.711,706.898,2561.785,704.972,3.852,3.852,3.852,2563.711
206,0.14;100%;1P;I02-1.tif,29.681,957.298,712.677,955.372,708.825,3.852,7.705,3.852,957.298
207,0.14;100%;1P;I02-1.tif,14.84,1173.028,714.603,1171.102,712.677,3.852,3.852,3.852,1173.028
208,0.14;100%;1P;I02-1.tif,237.444,673.191,724.956,658.745,716.529,30.818,19.262,30.818,673.191
209,0.14;100%;1P;I02-1.tif,89.042,1607.696,722.308,1602.56,716.529,11.557,11.557,11.557,1607.696
210,0.14;100%;1P;I02-1.tif,44.521,2044.933,721.024,2041.723,716.529,7.705,7.705,7.705,2044.933
