 ,Label,Area,X,Y,BX,BY,Width,Height,3501.786,,distance from edge (nm),diamater(nm)
169,0.14;100%;1P;I05-1.tif,12.755,2230.357,280.357,2228.571,278.571,3.571,3.571,,,1271.429,3.571
170,0.14;100%;1P;I05-1.tif,12.755,3116.071,280.357,3114.286,278.571,3.571,3.571,,,385.715,3.571
171,0.14;100%;1P;I05-1.tif,38.265,1489.881,285.119,1485.714,282.143,7.143,7.143,,,2011.905,7.143
172,0.14;100%;1P;I05-1.tif,12.755,2766.071,283.929,2764.286,282.143,3.571,3.571,,,735.715,3.571
173,0.14;100%;1P;I05-1.tif,12.755,158.929,287.5,157.143,285.714,3.571,3.571,,,3342.857,3.571
174,0.14;100%;1P;I05-1.tif,12.755,426.786,287.5,425,285.714,3.571,3.571,,,3075,3.571
175,0.14;100%;1P;I05-1.tif,12.755,3016.071,287.5,3014.286,285.714,3.571,3.571,,,485.715,3.571
176,0.14;100%;1P;I05-1.tif,12.755,458.929,291.071,457.143,289.286,3.571,3.571,,,3042.857,3.571
177,0.14;100%;1P;I05-1.tif,51.02,1347.321,293.75,1342.857,289.286,10.714,7.143,,,2154.465,10.714
178,0.14;100%;1P;I05-1.tif,25.51,2783.929,292.857,2782.143,289.286,3.571,7.143,,,717.857,3.571
179,0.14;100%;1P;I05-1.tif,114.796,3024.802,298.611,3014.286,289.286,17.857,17.857,,,476.984,17.857
180,0.14;100%;1P;I05-1.tif,25.51,691.071,296.429,689.286,292.857,3.571,7.143,,,2810.715,3.571
181,0.14;100%;1P;I05-1.tif,127.551,210.714,303.571,203.571,296.429,14.286,14.286,,,3291.072,14.286
182,0.14;100%;1P;I05-1.tif,25.51,803.571,298.214,800,296.429,7.143,3.571,,,2698.215,7.143
183,0.14;100%;1P;I05-1.tif,25.51,2726.786,300,2725,296.429,3.571,7.143,,,775,3.571
184,0.14;100%;1P;I05-1.tif,12.755,2866.071,298.214,2864.286,296.429,3.571,3.571,,,635.715,3.571
185,0.14;100%;1P;I05-1.tif,38.265,3443.452,299.405,3439.286,296.429,7.143,7.143,,,58.334,7.143
186,0.14;100%;1P;I05-1.tif,12.755,1091.071,301.786,1089.286,300,3.571,3.571,,,2410.715,3.571
187,0.14;100%;1P;I05-1.tif,89.286,1611.48,306.888,1603.571,300,14.286,14.286,,,1890.306,14.286
188,0.14;100%;1P;I05-1.tif,12.755,1751.786,301.786,1750,300,3.571,3.571,,,1750,3.571
189,0.14;100%;1P;I05-1.tif,25.51,1969.643,303.571,1967.857,300,3.571,7.143,,,1532.143,3.571
190,0.14;100%;1P;I05-1.tif,25.51,23.214,307.143,21.429,303.571,3.571,7.143,,,3478.572,3.571
191,0.14;100%;1P;I05-1.tif,12.755,1444.643,305.357,1442.857,303.571,3.571,3.571,,,2057.143,3.571
192,0.14;100%;1P;I05-1.tif,25.51,2167.857,305.357,2164.286,303.571,7.143,3.571,,,1333.929,7.143
193,0.14;100%;1P;I05-1.tif,127.551,2410.714,308.929,2403.571,303.571,14.286,10.714,,,1091.072,14.286
194,0.14;100%;1P;I05-1.tif,38.265,889.881,313.69,885.714,310.714,7.143,7.143,,,2611.905,7.143
195,0.14;100%;1P;I05-1.tif,12.755,1948.214,312.5,1946.429,310.714,3.571,3.571,,,1553.572,3.571
196,0.14;100%;1P;I05-1.tif,12.755,2237.5,312.5,2235.714,310.714,3.571,3.571,,,1264.286,3.571
197,0.14;100%;1P;I05-1.tif,12.755,2676.786,312.5,2675,310.714,3.571,3.571,,,825,3.571
198,0.14;100%;1P;I05-1.tif,12.755,2741.071,312.5,2739.286,310.714,3.571,3.571,,,760.715,3.571
199,0.14;100%;1P;I05-1.tif,25.51,2821.429,312.5,2817.857,310.714,7.143,3.571,,,680.357,7.143
200,0.14;100%;1P;I05-1.tif,12.755,3066.071,312.5,3064.286,310.714,3.571,3.571,,,435.715,3.571
201,0.14;100%;1P;I05-1.tif,165.816,702.06,324.863,696.429,314.286,14.286,17.857,,,2799.726,14.286
202,0.14;100%;1P;I05-1.tif,25.51,1621.429,316.071,1617.857,314.286,7.143,3.571,,,1880.357,7.143
203,0.14;100%;1P;I05-1.tif,12.755,1726.786,319.643,1725,317.857,3.571,3.571,,,1775,3.571
204,0.14;100%;1P;I05-1.tif,12.755,2708.929,319.643,2707.143,317.857,3.571,3.571,,,792.857,3.571
205,0.14;100%;1P;I05-1.tif,12.755,3216.071,319.643,3214.286,317.857,3.571,3.571,,,285.715,3.571
206,0.14;100%;1P;I05-1.tif,12.755,1005.357,323.214,1003.571,321.429,3.571,3.571,,,2496.429,3.571
207,0.14;100%;1P;I05-1.tif,38.265,2375.595,329.167,2371.429,325,7.143,7.143,,,1126.191,7.143
208,0.14;100%;1P;I05-1.tif,12.755,2787.5,326.786,2785.714,325,3.571,3.571,,,714.286,3.571
209,0.14;100%;1P;I05-1.tif,89.286,3485.969,330.867,3478.571,325,14.286,10.714,,,15.817,14.286
210,0.14;100%;1P;I05-1.tif,12.755,1876.786,330.357,1875,328.571,3.571,3.571,,,1625,3.571
211,0.14;100%;1P;I05-1.tif,25.51,2123.214,332.143,2121.429,328.571,3.571,7.143,,,1378.572,3.571
212,0.14;100%;1P;I05-1.tif,12.755,2826.786,330.357,2825,328.571,3.571,3.571,,,675,3.571
