 ,Label,Area,X,Y,BX,BY,Width,Height
492,20231005-B-S-SP-down-I_01-1.tif,73.874,1855.564,912.426,1850.944,907.805,10.872,10.872
493,20231005-B-S-SP-down-I_01-1.tif,7.387,2507.336,909.164,2505.977,907.805,2.718,2.718
494,20231005-B-S-SP-down-I_01-1.tif,7.387,1895.790,911.882,1894.431,910.523,2.718,2.718
495,20231005-B-S-SP-down-I_01-1.tif,22.162,2734.740,914.600,2731.569,910.523,5.436,8.154
496,20231005-B-S-SP-down-I_01-1.tif,7.387,2501.900,914.600,2500.541,913.241,2.718,2.718
497,20231005-B-S-SP-down-I_01-1.tif,7.387,2760.108,917.318,2758.749,915.959,2.718,2.718
498,20231005-B-S-SP-down-I_01-1.tif,7.387,2553.541,920.036,2552.182,918.677,2.718,2.718
499,20231005-B-S-SP-down-I_01-1.tif,44.324,696.256,926.831,693.085,921.395,8.154,10.872
500,20231005-B-S-SP-down-I_01-1.tif,155.136,1727.793,927.802,1717.763,921.395,19.026,13.590
501,20231005-B-S-SP-down-I_01-1.tif,7.387,2268.153,925.472,2266.794,924.113,2.718,2.718
502,20231005-B-S-SP-down-I_01-1.tif,7.387,2281.743,925.472,2280.384,924.113,2.718,2.718
503,20231005-B-S-SP-down-I_01-1.tif,103.424,1249.882,932.849,1244.834,926.831,10.872,13.590
