Radii(nm)	Raw	1kp	2kp	4kp	4ks
62.	2.11231496062194e12	5.42700406318474e7	3.63642166711909e6	2.65699476888585e9	7.07142906799201e6
63.	2.03895851717173e9	6.47347135596018e7	5.24688774488833e6	4.06136873961575e12	1.02937751616778e7
64.	2.37401716113166e8	8.03915164256096e7	8.15850549382042e6	7.17407051361331e12	1.74061672053169e7
65.	1.12079499971946e8	1.04900172697532e8	1.41137544371931e7	2.64817528944139e9	3.76817149057074e7
66.	7.78540022576934e7	1.4609357327283e8	2.91114819550267e7	9.2713486058042e8	1.41122684658792e8
67.	6.10487559312392e7	2.20731373963752e8	9.08848891073898e7	4.99974043913415e8	1.02925045268067e12
68.	5.40336431635112e7	3.74085534802006e8	1.27315676444602e11	3.33750084960049e8	2.32556124804834e8
69.	5.39459346405874e7	8.06727111556997e8	2.81593033453675e12	2.56160487269451e8	6.18522024201389e7
70.	6.12892991953679e7	3.51137144977301e9	2.06389120781067e8	2.19068391585391e8	3.14071774648035e7
71.	8.12015928127618e7	2.27138595995222e11	7.3324342502821e7	2.05778330912633e8	2.1370015527537e7
72.	1.35075648363001e8	4.75555743669779e9	3.38619514647756e7	2.11592614824071e8	1.75578733971333e7
73.	1.13492332911896e8	5.74901061741269e8	2.49122586567556e7	2.39414895055867e8	1.67738752458079e7
74.	1180787317182	2.76953407364822e8	2.1432887714701e7	3.02775927340204e8	1.85116776218557e7
75.	6.72951628463516e9	1.54437003480433e8	2.11564220186539e7	4.42447798033003e8	2.40796739298733e7
76.	2.95287323975402e8	1.26607195487934e8	2.28296873770084e7	8.0473217595116e8	3.93935464346633e7
77.	7.63389704351927e7	1.0423949090648e8	2.65518088307234e7	2.28485556842942e9	9.98326466435263e7
78.	4.26343061109489e7	8.89028375498617e7	3.31492217617069e7	2.52396990422635e12	9.43794478504239e10
79.	2.91096774109387e7	7.8875692234611e7	4.49314618848727e7	1.36703760285877e12	1.18257297459259e11
80.	2.28172114045634e7	7.25939592705891e7	6.76108947115432e7	2.52796490483102e9	7.49261845608959e7
81.	1.99376056958043e7	6.91339506806231e7	1.16501653781039e8	9.62687628449008e8	2.42374217794274e7
82.	1.91220113868924e7	6.77117958474185e7	2.8864232017214e8	5.82356130267546e8	1.19326733444708e7
83.	1.9948062506602e7	6.81312291076117e7	1.10865942051976e9	4.54932201352503e8	7.17317312136305e6
84.	2.24693096871289e7	7.04580349903476e7	1.81842456936435e10	4.33469639567109e8	4.87144887285202e6
85.	2.69735359945592e7	7.50218326008083e7	9.49503314519643e11	5.05216667509204e8	3.60075033069983e6
86.	3.29818973149363e7	8.25190780734297e7	1.00024398351561e11	7.62734627116119e8	2.83860476624243e6
87.	3.47806303433742e7	9.42826005422595e7	2.11661237523282e11	1.83287092067277e9	2.36023883111632e6
88.	3.51648645803487e6	1.1290300770399e8	8.77794929255645e10	1.18442524359586e12	2.05955455360847e6
89.	1.7734334108957e9	1.43693397627455e8	9.80129036603201e9	9.72804738513645e11	1.88563147744542e6
90.	3.84109166634219e11	1.98397012774524e8	1.39524144549455e9	1.41193105694469e9	1.81867098041815e6
91.	2.10408536921973e10	3.06050103345792e8	3.51775397125113e8	4.78299224081029e8	1.86328985640845e6
92.	3.56666381887148e9	5.6019755878364e8	1.6576430788548e8	2.5808677534054e8	2.05566621296791e6
93.	1.19299625474816e9	1.64500361771651e9	1.02985729359228e8	1.782142253822e8	2.49626865518817e6
94.	5.08008364331752e8	7.72261646756829e10	6.31464010843998e7	1.46833626383954e8	3.46657544161377e6
95.	2.48550508410511e8	1.65767760865279e9	4.78371016637746e7	1.40880273527521e8	5.95593912088379e6
