Wavelength (nm)	Raw	1kp	2kp	4kp	4ks
725.0684204	0.087615512	0.021843448	0.245093867	0.573273063	-0.044931442
723.9291992	0.090805009	0.019622575	0.246714234	0.576947928	-0.049449272
722.9320679	0.091770977	0.019589618	0.248385653	0.579596698	-0.04709556
721.9345703	0.09127517	0.020132186	0.249642834	0.583620966	-0.045503635
720.9367065	0.091087878	0.021014862	0.251949281	0.585253656	-0.04705533
719.9385376	0.094029702	0.020224817	0.249350414	0.588227212	-0.042301938
718.9400024	0.092338324	0.012052301	0.247374058	0.587626994	-0.048585344
717.9411011	0.092818163	0.020364942	0.252330661	0.596114457	-0.046731133
716.9418945	0.096302792	0.018241109	0.257071137	0.601158261	-0.046351932
715.9423828	0.092904687	0.018259197	0.257524878	0.601171196	-0.045860287
714.9425049	0.092561491	0.019521218	0.25851813	0.605001867	-0.044977326
713.9422607	0.09615612	0.015897918	0.257767141	0.609147906	-0.048976757
712.9417114	0.090899684	0.018853359	0.262588292	0.617949247	-0.044823587
711.9407959	0.097168654	0.019595142	0.262355804	0.617482543	-0.044242732
710.9395752	0.092488423	0.021136707	0.264100969	0.620322049	-0.045002859
709.9379883	0.097369723	0.019531183	0.261459857	0.622246981	-0.046565969
708.9360962	0.096765682	0.019940747	0.265065998	0.626192391	-0.044644102
707.9338989	0.095950276	0.018359801	0.267005503	0.63200444	-0.044501599
706.9313354	0.099153697	0.022692246	0.266319931	0.634447932	-0.041251853
705.9284058	0.100014515	0.020924805	0.267650127	0.63744539	-0.045129612
705.0685425	0.100368224	0.020237077	0.270897925	0.639744639	-0.042679906
704.0650024	0.102487207	0.018140936	0.271817565	0.641562343	-0.043344762
703.0611572	0.103605241	0.018688831	0.274764359	0.645701766	-0.04182877
702.0569458	0.104465187	0.020950666	0.277212888	0.647334874	-0.039798632
701.0524292	0.107821755	0.021007229	0.274083883	0.652117431	-0.039956804
700.0476074	0.106193975	0.020419555	0.278057754	0.656432569	-0.037857618
699.0424194	0.108659551	0.017674824	0.275629073	0.658008516	-0.042240925
698.0369263	0.09827131	0.019699605	0.2779845	0.664226115	-0.040100712
697.0310669	0.102140114	0.022007216	0.280765951	0.670543134	-0.037367467
696.0249023	0.107851088	0.019961536	0.283789128	0.674478233	-0.038337313
695.0184326	0.1079778	0.017503006	0.283514321	0.674083829	-0.039977912
694.0115967	0.114759795	0.019395333	0.284953475	0.677950323	-0.04391643
693.0044556	0.113780297	0.019031581	0.288023591	0.682716191	-0.039190013
691.9970093	0.109703928	0.015664296	0.28553617	0.682919741	-0.040276613
690.9891968	0.104662426	0.018481281	0.291065544	0.686124444	-0.038393807
689.9810791	0.112903237	0.014997676	0.289587945	0.689113915	-0.038201496
688.9725952	0.115013376	0.015119934	0.290156603	0.695611	-0.038916789
687.9638672	0.113809973	0.016214073	0.292021632	0.698471487	-0.039129268
686.9547729	0.117407136	0.015656836	0.295348555	0.702344775	-0.040534079
685.9453125	0.117049955	0.015398481	0.296774149	0.707184076	-0.039750494
684.9355469	0.118584611	0.017244682	0.297286332	0.708501875	-0.038897805
684.0698242	0.117693931	0.021807218	0.302419841	0.714975834	-0.035267964
683.0594482	0.122099236	0.022788946	0.301875472	0.718857467	-0.035608843
682.0487671	0.125247479	0.019045454	0.302362353	0.718795836	-0.038472991
