Radii(nm)	Raw	1kp	2kp	4kp	8kp	8ks
114.	3.83036127768578e7	2.66183715633483e7	4.1211804755193e7	1.85833540005809e9	2.27461166763914e8	7.07025050390088e6
115.	2.86980437781431e7	2.12686030198776e7	3.14395986673818e7	7.36191657312914e10	1.67234862882841e8	5.54218729354814e6
116.	2.24222872574627e7	1.75915300565519e7	2.51376426714536e7	6.04545938122467e7	1.35057860015686e8	4.48683712621572e6
117.	1.83890217498871e7	1.50931334325093e7	2.09780648260155e7	2.10642484729237e7	1.1667681169356e8	3.80750842120426e6
118.	1.58576001735894e7	1.343534884995e7	1.82310603034294e7	1.0484721283872e7	1.06294648668939e8	3.31372725909927e6
119.	1.44367106135837e7	1.24347941079114e7	1.64957691216081e7	6.04992587357837e6	1.02668100508567e8	3.04311840343592e6
120.	1.39007832418293e7	1.20088902677278e7	1.55743497481422e7	3.92226896894219e6	1.04671714958935e8	2.9202435222508e6
121.	1.42352088797964e7	1.21705062681445e7	1.54146853354288e7	2.88114095995636e6	1.13266841314468e8	2.94909894541061e6
122.	1.56293328606725e7	1.30347848260183e7	1.61073495869863e7	2.35347327078273e6	1.31247431972368e8	3.16788141297868e6
123.	1.8618469358508e7	1.49396394632341e7	1.79496334028023e7	2.11779692362537e6	1.65382498762329e8	3.6792406183397e6
124.	2.45014625009921e7	1.86449138627873e7	2.16484207820414e7	2.09199406488326e6	2.35008271366311e8	4.74245671160391e6
125.	3.65982738226603e7	2.60692004764847e7	2.89318422318005e7	2.27151247780398e6	4.33993933519368e8	7.09721776346715e6
126.	6.14461503910939e7	4.3357534237905e7	4.47811201408335e7	2.72966555873582e6	4.89658977612258e9	1.34695969791852e7
127.	1.37282680398927e8	1.0446760975694e8	8.89850537371348e7	3.68613375016804e6	6.48478650400808e10	3.96847705871136e7
128.	3.8363699053532e8	6.44689575190149e8	2.85651638199951e8	5.77579148083845e6	3.54841297008061e9	6.13365343192899e9
129.	1.43495174374231e11	2.86663236765735e11	1.16998426704737e11	1.13022937101329e7	2.32552054738915e8	5.36788929456477e10
130.	4.18377830578033e10	1.12239181508531e9	1.50125704730734e10	3.09649716189067e7	1.18860451353322e8	2.18884160167272e7
131.	1.60968666721752e9	2.54718079914241e8	6.41340033644799e8	3.61141742545634e10	1.22339676734089e8	5.66531060372391e6
132.	9.04288710414245e8	1.29923078789769e8	2.00140935132196e8	9.04926157466693e9	1.24441868930987e8	3.79742959290942e6
133.	7.32005806848121e8	1.19612105581375e8	1.13873215990491e8	3.47804911708396e7	1.35926592988772e8	3.07370517253041e6
134.	5.93058130101006e8	1.39624951587125e8	8.66416464300631e7	1.33247044429481e7	1.61676616628882e8	2.67166543138127e6
135.	5.46076647022787e8	1.7902981439302e8	7.89284483655558e7	7.52589647499867e6	2.11797254162359e8	2.53535080811491e6
136.	1.55232733316971e10	2.18426528895456e8	8.19780489313301e7	5.18095490949078e6	3.10547628362861e8	2.61552325142645e6
137.	3.90155267636368e9	1.63533168904317e8	9.47531241409302e7	4.05563449805097e6	5.14960757279974e8	2.91188024038939e6
138.	1.07631351514042e9	8.89098704673147e10	1.20613625376195e8	3.51024837035721e6	9.64474769740197e8	3.43317245111129e6
139.	7.41070791949263e8	2.21424081206862e10	1.69589306012683e8	3.32578893493261e6	1.96201341718511e9	3.89288337781453e6
140.	6.0865236168903e8	9.84815429223848e8	2.69950239890117e8	3.45312091467544e6	3.96901408293263e9	4.09694723807435e6
141.	5.79507225708182e8	5.66950845083423e8	5.24199676278135e8	3.96458832069519e6	7.05645714784757e9	7.50725132489251e6
142.	6.53320127451352e8	4.49535393206385e8	1.70524962473821e9	5.12431188328123e6	2.27236391153223e10	3.31248921646954e8
143.	8.93601968221992e8	4.30279002562822e8	9.18143356436114e10	7.68449688734011e6	2.08922397076243e10	5.40086178198046e10
144.	1.64888771165455e9	4.98841805368298e8	2.48874878635178e9	1.42043757972137e7	3.14414419434825e10	8.99490335035983e8
145.	2.53865595756283e10	7.42940429762122e8	4.93193968573347e8	3.97023263868462e7	5.27564740845722e9	9.51927437854933e7
146.	8.19638814705939e10	1.67243152921879e9	1.94719322657663e8	3.22123543452194e9	1.91474174951883e9	4.77129282807522e7
147.	5.83240519437848e8	2.95884970918476e10	9.82979338983873e7	1.39935897114356e10	1.02467109946013e9	3.52349872934211e7
148.	2.33014907009065e8	2.01844821185599e11	5.92064996939829e7	4.04562323280397e7	6.69952045511826e8	3.1717029012363e7
149.	1.34037020858064e8	4.84876376906922e8	4.03992318615293e7	1.05053360556951e7	5.6141285973174e8	2.85445899621691e7
150.	9.20610279575375e7	3.75876325848624e8	3.0318325807317e7	4.06200858885954e6	6.41508702548428e8	2.77450116124867e7
151.	7.60299156504875e7	2.44928886286499e8	2.46052183292754e7	2.18909287295578e6	8.85809686650674e8	3.42568546467447e7
152.	6.14059765510013e7	1.71263965296523e8	2.13640691332613e7	1.70606492094976e6	1.26577163038886e9	7.40795492926378e7
153.	5.45243562761573e7	1.32608546601786e8	1.97005703258049e7	1.4461360749984e6	1.55260071203449e9	1.84452293839595e8
154.	4.86222268979498e7	1.13326056864186e8	1.91950018016779e7	1.29770693255758e6	1.77481900170971e9	8.79601701948042e8
155.	4.86294043608115e7	1.05891243608448e8	1.96968601835208e7	1.19708684919021e6	4.29515439494296e9	1.13713776273736e10
156.	4.75831812238426e7	1.0695459697865e8	2.12577731605561e7	1.10893297263481e6	6.74453947820297e10	2.52883898189397e10
157.	5.22325460208091e7	1.15342701748123e8	2.41511743002211e7	1.033183188945e6	1.48192926518158e10	1.9573799956425e8
158.	6.0594490590572e7	1.33985537751851e8	2.90067489371911e7	968348.47864863	1.63646998223541e9	1.7884241999873e8
159.	7.36037021528327e7	1.91331005684607e8	3.70300497786227e7	911581.617415336	1.04014435617235e9	1.70133169785509e8
160.	9.26763595084436e7	3.10974660796188e8	5.02394720451743e7	863442.311682441	1.00916420633938e9	1.49225786557593e8
161.	1.23544466786531e8	7.99679639036617e8	6.77750512837351e7	825943.867402954	1.1504890797713e9	1.33652667906748e8
162.	1.72029559497286e8	2.15855056209461e9	6.95580797772069e7	801273.390615747	1.48578328097978e9	1.34172113971815e8
163.	2.41770276139822e8	3.13617268956016e9	1.67457144347319e8	791690.830689313	1.88623121518337e9	1.52191950551662e8
